PANTONENAME,UNIQUECODE,R,G,B
100 C,10001,246,235,100
101 C,10002,246,235,76
10101 C,10003,212,212,212
10102 C,10004,194,200,198
10103 C,10005,185,188,187
10104 C,10006,173,177,180
10105 C,10007,171,174,176
10106 C,10008,171,171,119
10107 C,10009,172,172,99
10108 C,10010,174,171,81
10109 C,10011,176,171,63
10110 C,10012,182,170,39
10111 C,10013,192,178,8
10112 C,10014,169,171,137
10113 C,10015,170,168,111
10114 C,10016,171,168,93
10115 C,10017,177,167,77
10116 C,10018,181,166,56
10117 C,10019,185,165,33
10118 C,10020,172,164,110
10119 C,10021,178,162,93
10120 C,10022,181,158,75
10121 C,10023,183,154,54
10122 C,10024,192,151,36
10123 C,10025,199,148,5
10124 C,10026,172,163,119
10125 C,10027,169,158,99
10126 C,10028,169,151,81
10127 C,10029,172,147,69
10128 C,10030,179,141,52
10129 C,10031,185,134,40
10130 C,10032,175,144,113
10131 C,10033,175,133,93
10132 C,10034,176,126,78
10133 C,10035,170,113,59
10134 C,10036,168,106,48
10135 C,10037,164,96,33
10136 C,10038,171,155,136
10137 C,10039,174,144,117
10138 C,10040,172,130,96
10139 C,10041,168,121,78
10140 C,10042,169,113,66
10141 C,10043,161,102,52
10142 C,10044,181,142,108
10143 C,10045,185,133,90
10144 C,10046,189,123,73
10145 C,10047,195,116,58
10146 C,10048,196,107,41
10147 C,10049,200,99,24
10148 C,10050,184,135,123
10149 C,10051,186,123,108
10150 C,10052,189,109,88
10151 C,10053,190,100,72
10152 C,10054,196,92,57
10153 C,10055,200,83,44
10154 C,10056,173,150,145
10155 C,10057,176,135,124
10156 C,10058,176,119,109
10157 C,10059,174,105,91
10158 C,10060,174,92,78
10159 C,10061,177,81,67
10160 C,10062,183,125,143
10161 C,10063,186,112,131
10162 C,10064,189,97,118
10163 C,10065,188,84,101
10164 C,10066,192,76,89
10165 C,10067,198,65,74
10166 C,10068,178,123,149
10167 C,10069,178,107,139
10168 C,10070,181,93,125
10169 C,10071,178,76,113
10170 C,10072,180,64,101
10171 C,10073,183,48,87
10172 C,10074,164,125,157
10173 C,10075,164,109,150
10174 C,10076,165,96,140
10175 C,10077,162,81,132
10176 C,10078,167,67,122
10177 C,10079,171,51,113
10178 C,10080,175,139,165
10179 C,10081,174,124,158
10180 C,10082,173,113,152
10181 C,10083,174,100,144
10182 C,10084,175,85,137
10183 C,10085,181,70,128
10184 C,10086,171,144,171
10185 C,10087,171,132,168
10186 C,10088,171,117,161
10187 C,10089,172,104,157
10188 C,10090,176,92,153
10189 C,10091,176,77,147
10190 C,10092,157,150,160
10191 C,10093,149,135,148
10192 C,10094,141,121,135
10193 C,10095,131,107,123
10194 C,10096,118,91,111
10195 C,10097,109,78,96
10196 C,10098,162,144,168
10197 C,10099,161,126,158
10198 C,10100,157,108,150
10199 C,10101,150,92,139
102 C,10102,250,227,12
10200 C,10103,152,78,133
10201 C,10104,147,64,122
10202 C,10105,156,128,162
10203 C,10106,149,108,149
10204 C,10107,142,96,141
10205 C,10108,134,81,131
10206 C,10109,131,70,125
10207 C,10110,123,53,114
10208 C,10111,161,140,169
10209 C,10112,156,123,164
10210 C,10113,150,110,159
10211 C,10114,147,96,155
10212 C,10115,144,85,151
10213 C,10116,135,68,144
10214 C,10117,144,124,165
10215 C,10118,133,109,164
10216 C,10119,121,95,159
10217 C,10120,110,77,151
10218 C,10121,99,62,146
10219 C,10122,86,45,137
10220 C,10123,153,147,171
10221 C,10124,146,135,166
10222 C,10125,136,123,162
10223 C,10126,128,111,162
10224 C,10127,122,99,158
10225 C,10128,113,87,154
10226 C,10129,150,147,173
10227 C,10130,139,137,167
10228 C,10131,134,127,166
10229 C,10132,121,114,162
10230 C,10133,111,103,158
10231 C,10134,98,89,155
10232 C,10135,130,129,163
10233 C,10136,116,116,156
10234 C,10137,104,99,149
10235 C,10138,91,86,143
10236 C,10139,82,72,136
10237 C,10140,84,78,140
10238 C,10141,135,138,169
10239 C,10142,123,126,172
10240 C,10143,105,111,165
10241 C,10144,93,97,160
10242 C,10145,80,83,158
10243 C,10146,67,70,151
10244 C,10147,108,134,170
10245 C,10148,91,121,168
10246 C,10149,70,105,164
10247 C,10150,55,92,157
10248 C,10151,39,79,154
10249 C,10152,24,65,149
10250 C,10153,143,157,175
10251 C,10154,129,146,173
10252 C,10155,111,133,171
10253 C,10156,100,122,169
10254 C,10157,82,110,166
10255 C,10158,66,96,163
10256 C,10159,122,148,172
10257 C,10160,108,137,172
10258 C,10161,90,128,172
10259 C,10162,74,118,168
10260 C,10163,59,107,169
10261 C,10164,33,94,166
10262 C,10165,138,156,165
10263 C,10166,118,140,154
10264 C,10167,97,126,145
10265 C,10168,81,114,134
10266 C,10169,65,101,126
10267 C,10170,47,90,113
10268 C,10171,115,153,173
10269 C,10172,92,144,173
10270 C,10173,76,137,174
10271 C,10174,48,127,170
10272 C,10175,3,120,172
10273 C,10176,0,108,170
10274 C,10177,115,160,175
10275 C,10178,93,154,176
10276 C,10179,68,147,174
10277 C,10180,23,142,173
10278 C,10181,0,136,175
10279 C,10182,0,132,179
10280 C,10183,122,159,166
10281 C,10184,101,150,161
10282 C,10185,80,144,156
10283 C,10186,59,138,152
10284 C,10187,18,129,143
10285 C,10188,0,121,138
10286 C,10189,119,163,167
10287 C,10190,101,160,165
10288 C,10191,73,158,165
10289 C,10192,42,154,161
10290 C,10193,0,150,157
10291 C,10194,0,145,150
10292 C,10195,125,169,165
10293 C,10196,105,167,160
10294 C,10197,85,163,154
10295 C,10198,55,161,147
10296 C,10199,0,161,142
10297 C,10200,0,158,136
10298 C,10201,132,163,137
10299 C,10202,116,157,123
103 C,10203,196,169,6
10300 C,10204,101,154,113
10301 C,10205,84,151,100
10302 C,10206,64,145,87
10303 C,10207,32,139,76
10304 C,10208,139,165,132
10305 C,10209,127,162,116
10306 C,10210,114,159,103
10307 C,10211,99,152,90
10308 C,10212,83,149,79
10309 C,10213,64,146,64
10310 C,10214,149,161,148
10311 C,10215,133,149,130
10312 C,10216,120,143,119
10313 C,10217,107,130,103
10314 C,10218,94,121,89
10315 C,10219,82,111,80
10316 C,10220,149,169,128
10317 C,10221,141,169,110
10318 C,10222,128,166,95
10319 C,10223,120,165,81
10320 C,10224,109,167,68
10321 C,10225,94,164,50
10322 C,10226,164,173,120
10323 C,10227,156,169,98
10324 C,10228,155,170,84
10325 C,10229,149,169,66
10326 C,10230,143,167,48
10327 C,10231,139,172,27
10328 C,10232,150,159,124
10329 C,10233,139,152,107
10330 C,10234,128,142,90
10331 C,10235,120,135,79
10332 C,10236,109,128,66
10333 C,10237,98,118,53
10334 C,10238,155,153,133
10335 C,10239,147,146,118
10336 C,10240,140,135,101
10337 C,10241,131,124,88
10338 C,10242,122,117,75
10339 C,10243,113,107,60
10340 C,10244,159,149,127
10341 C,10245,155,143,113
10342 C,10246,147,133,94
10343 C,10247,138,122,81
10344 C,10248,132,114,66
10345 C,10249,122,104,53
10346 C,10250,166,150,126
10347 C,10251,159,139,107
10348 C,10252,155,130,94
10349 C,10253,148,122,78
10350 C,10254,142,114,67
10351 C,10255,135,106,55
10352 C,10256,169,159,144
10353 C,10257,165,147,120
10354 C,10258,163,138,102
10355 C,10259,159,129,87
10356 C,10260,152,121,73
10357 C,10261,145,109,60
10358 C,10262,163,144,123
10359 C,10263,157,136,106
10360 C,10264,152,124,91
10361 C,10265,142,113,76
10362 C,10266,131,100,61
10363 C,10267,122,90,49
10364 C,10268,168,152,136
10365 C,10269,164,136,111
10366 C,10270,160,124,92
10367 C,10271,153,113,77
10368 C,10272,147,101,63
10369 C,10273,139,89,50
10370 C,10274,162,154,146
10371 C,10275,150,137,122
10372 C,10276,144,126,109
10373 C,10277,132,109,91
10374 C,10278,120,96,79
10375 C,10279,111,87,66
10376 C,10280,147,137,131
10377 C,10281,137,124,116
10378 C,10282,128,110,99
10379 C,10283,120,100,89
10380 C,10284,109,91,77
10381 C,10285,95,76,63
10382 C,10286,148,143,146
10383 C,10287,131,125,128
10384 C,10288,118,109,113
10385 C,10289,103,95,98
10386 C,10290,87,81,82
10387 C,10291,75,66,68
10388 C,10292,139,146,150
10389 C,10293,120,128,133
10390 C,10294,105,113,118
10391 C,10295,91,98,103
10392 C,10296,76,83,89
10393 C,10297,65,72,77
10394 C,10298,125,124,122
10395 C,10299,110,109,106
10396 C,10300,95,91,89
10397 C,10301,80,77,74
10398 C,10302,66,63,61
10399 C,10303,53,53,51
104 C,10304,174,151,6
10401 C,10305,202,138,36
10402 C,10306,191,142,79
10403 C,10307,169,136,85
10404 C,10308,171,145,107
10405 C,10309,173,152,116
10406 C,10310,179,157,125
10407 C,10311,178,161,131
10408 C,10312,177,146,121
10409 C,10313,163,118,97
10410 C,10314,158,108,104
10411 C,10315,181,132,128
10413 C,10316,195,75,77
10414 C,10317,187,39,92
10415 C,10318,176,65,69
10416 C,10319,169,42,47
10417 C,10320,175,48,53
10418 C,10321,139,53,53
10419 C,10322,187,128,133
10420 C,10323,173,123,138
10421 C,10324,159,70,115
10422 C,10325,133,52,103
10423 C,10326,141,76,131
10424 C,10327,111,39,105
10425 C,10328,58,80,147
10426 C,10329,52,70,119
10427 C,10330,36,62,127
10428 C,10331,71,58,134
10429 C,10332,67,45,112
10430 C,10333,62,47,97
10431 C,10334,130,160,171
10432 C,10335,92,124,139
10433 C,10336,0,117,153
10434 C,10337,0,95,132
10435 C,10338,113,120,131
10436 C,10339,103,110,116
10437 C,10340,76,115,94
10438 C,10341,79,151,105
10439 C,10342,66,149,124
10440 C,10343,0,136,144
10441 C,10344,0,103,115
10442 C,10345,58,93,98
10443 C,10346,180,137,125
10444 C,10347,152,122,119
10445 C,10348,152,125,122
10446 C,10349,155,138,135
10447 C,10350,139,126,126
10448 C,10351,148,143,145
10449 C,10352,180,186,181
10450 C,10353,172,174,174
10451 C,10354,115,117,115
10452 C,10355,99,102,103
10453 C,10356,84,91,94
10454 C,10357,75,75,75
105 C,10358,139,123,41
106 C,10359,249,231,74
107 C,10360,251,226,39
108 C,10361,255,221,18
109 C,10362,254,210,6
110 C,10363,217,172,9
111 C,10364,169,138,6
112 C,10365,156,132,22
113 C,10366,247,223,82
114 C,10367,250,223,66
115 C,10368,251,218,37
116 C,10369,254,205,10
117 C,10370,202,151,4
118 C,10371,172,133,3
119 C,10372,137,117,36
120 C,10373,252,221,102
1205 C,10374,247,225,143
121 C,10375,251,217,90
1215 C,10376,252,216,117
122 C,10377,253,209,67
1225 C,10378,255,200,70
123 C,10379,253,197,46
1235 C,10380,253,185,33
124 C,10381,233,169,5
1245 C,10382,197,145,24
125 C,10383,181,133,4
1255 C,10384,172,132,33
126 C,10385,153,118,21
1265 C,10386,135,107,39
127 C,10387,244,223,110
128 C,10388,242,213,79
129 C,10389,240,206,63
130 C,10390,240,170,6
131 C,10391,203,138,5
132 C,10392,160,115,4
133 C,10393,106,87,27
134 C,10394,254,212,115
1345 C,10395,251,208,135
135 C,10396,255,200,90
1355 C,10397,255,199,112
136 C,10398,255,192,65
1365 C,10399,252,180,75
137 C,10400,252,164,5
1375 C,10401,254,158,32
138 C,10402,221,124,4
1385 C,10403,212,120,4
139 C,10404,173,108,5
1395 C,10405,151,96,24
140 C,10406,114,83,30
1405 C,10407,110,78,32
141 C,10408,241,201,95
142 C,10409,240,190,74
143 C,10410,241,182,56
144 C,10411,237,141,10
145 C,10412,206,128,5
146 C,10413,168,111,20
147 C,10414,114,94,44
148 C,10415,252,203,139
1485 C,10416,254,174,100
149 C,10417,255,194,126
1495 C,10418,253,145,31
150 C,10419,254,179,91
1505 C,10420,252,104,1
151 C,10421,254,130,6
152 C,10422,228,114,5
1525 C,10423,183,72,3
153 C,10424,190,107,24
1535 C,10425,146,69,14
154 C,10426,153,90,27
1545 C,10427,100,57,25
155 C,10428,238,207,159
1555 C,10429,253,185,146
156 C,10430,235,190,125
1565 C,10431,254,160,107
157 C,10432,235,163,86
1575 C,10433,255,128,51
158 C,10434,233,120,36
1585 C,10435,255,107,22
159 C,10436,203,97,24
1595 C,10437,216,97,26
160 C,10438,160,86,28
1605 C,10439,166,86,36
161 C,10440,97,62,33
1615 C,10441,140,73,35
162 C,10442,255,192,163
1625 C,10443,253,164,139
163 C,10444,252,157,110
1635 C,10445,253,142,111
164 C,10446,254,128,67
1645 C,10447,253,107,63
165 C,10448,255,106,35
1655 C,10449,251,78,3
166 C,10450,226,82,8
1665 C,10451,220,69,8
167 C,10452,189,83,30
1675 C,10453,170,68,31
168 C,10454,116,59,30
1685 C,10455,129,58,30
169 C,10456,253,179,170
170 C,10457,255,135,118
171 C,10458,255,94,59
172 C,10459,250,72,25
173 C,10460,206,71,33
174 C,10461,149,56,34
175 C,10462,106,52,42
176 C,10463,254,177,189
1765 C,10464,253,165,181
1767 C,10465,250,174,191
177 C,10466,253,129,141
1775 C,10467,254,142,163
1777 C,10468,250,99,126
178 C,10469,255,90,94
1785 C,10470,247,71,96
1787 C,10471,242,54,77
1788 C,10472,235,39,56
179 C,10473,224,61,51
1795 C,10474,210,39,50
1797 C,10475,202,53,61
180 C,10476,188,59,54
1805 C,10477,175,41,48
1807 C,10478,164,55,60
181 C,10479,127,49,46
1815 C,10480,123,37,42
1817 C,10481,100,51,55
182 C,10482,249,187,205
183 C,10483,252,156,179
184 C,10484,243,82,116
185 C,10485,228,9,45
186 C,10486,202,22,48
187 C,10487,166,28,48
188 C,10488,118,36,48
189 C,10489,246,163,187
1895 C,10490,246,183,208
190 C,10491,245,118,154
1905 C,10492,244,155,187
191 C,10493,238,65,111
1915 C,10494,239,78,129
192 C,10495,226,12,72
1925 C,10496,222,2,78
193 C,10497,192,20,63
1935 C,10498,195,1,62
194 C,10499,154,39,67
1945 C,10500,165,14,62
195 C,10501,121,47,65
1955 C,10502,139,23,59
196 C,10503,237,200,206
197 C,10504,229,156,174
198 C,10505,223,73,99
199 C,10506,214,5,52
200 C,10507,185,12,47
2001 C,10508,245,229,153
2002 C,10509,247,226,124
2003 C,10510,248,226,104
2004 C,10511,249,221,124
2005 C,10512,251,216,130
2006 C,10513,233,189,81
2007 C,10514,222,166,41
2008 C,10515,237,194,112
2009 C,10516,237,182,98
201 C,10517,157,37,55
2010 C,10518,254,176,14
2011 C,10519,235,155,52
2012 C,10520,238,150,4
2013 C,10521,254,154,5
2014 C,10522,182,112,0
2015 C,10523,248,207,170
2016 C,10524,254,182,116
2017 C,10525,247,173,111
2018 C,10526,254,119,5
2019 C,10527,215,109,5
202 C,10528,134,41,53
2020 C,10529,188,85,3
2021 C,10530,157,74,24
2022 C,10531,248,170,142
2023 C,10532,250,148,113
2024 C,10533,248,127,88
2025 C,10534,254,139,62
2026 C,10535,243,99,61
2027 C,10536,235,83,64
2028 C,10537,234,55,5
2029 C,10538,240,130,128
203 C,10539,235,180,204
2030 C,10540,218,121,117
2031 C,10541,213,106,102
2032 C,10542,207,91,87
2033 C,10543,198,72,69
2034 C,10544,228,62,61
2035 C,10545,214,12,28
2036 C,10546,248,191,215
2037 C,10547,241,150,201
2038 C,10548,237,95,162
2039 C,10549,229,58,136
204 C,10550,229,128,168
2040 C,10551,218,20,92
2041 C,10552,160,35,80
2042 C,10553,111,41,63
2043 C,10554,233,197,211
2044 C,10555,228,146,182
2045 C,10556,219,116,161
2046 C,10557,205,87,138
2047 C,10558,166,69,112
2048 C,10559,150,59,100
2049 C,10560,132,45,78
205 C,10561,222,71,124
2050 C,10562,237,214,231
2051 C,10563,219,194,209
2052 C,10564,198,160,183
2053 C,10565,176,127,157
2054 C,10566,157,113,139
2055 C,10567,143,94,121
2056 C,10568,125,73,102
2057 C,10569,207,148,185
2058 C,10570,185,134,174
2059 C,10571,183,124,162
206 C,10572,205,3,57
2060 C,10573,200,108,169
2061 C,10574,171,83,137
2062 C,10575,179,70,142
2063 C,10576,165,49,125
2064 C,10577,223,163,214
2065 C,10578,220,168,220
2066 C,10579,209,143,212
2067 C,10580,190,106,194
2068 C,10581,176,81,183
2069 C,10582,163,60,170
207 C,10583,164,1,52
2070 C,10584,141,26,150
2071 C,10585,199,180,223
2072 C,10586,183,151,212
2073 C,10587,175,150,213
2074 C,10588,148,106,192
2075 C,10589,137,103,190
2076 C,10590,132,90,182
2077 C,10591,106,63,163
2078 C,10592,180,159,188
2079 C,10593,153,124,164
208 C,10594,134,32,66
2080 C,10595,151,116,171
2081 C,10596,133,94,155
2082 C,10597,119,77,146
2083 C,10598,148,96,200
2084 C,10599,127,54,179
2085 C,10600,219,204,230
2086 C,10601,160,140,205
2087 C,10602,155,125,214
2088 C,10603,129,92,199
2089 C,10604,111,72,188
209 C,10605,112,40,63
2090 C,10606,100,56,181
2091 C,10607,74,18,160
2092 C,10608,181,171,215
2093 C,10609,167,155,196
2094 C,10610,140,128,174
2095 C,10611,119,101,178
2096 C,10612,100,79,164
2097 C,10613,99,69,189
2098 C,10614,71,36,170
2099 C,10615,177,162,201
210 C,10616,247,161,202
2100 C,10617,160,145,203
2101 C,10618,137,116,208
2102 C,10619,100,88,176
2103 C,10620,87,75,169
2104 C,10621,73,55,155
2105 C,10622,56,33,126
2106 C,10623,175,182,206
2107 C,10624,142,152,186
2108 C,10625,119,128,169
2109 C,10626,102,110,153
211 C,10627,243,127,182
2110 C,10628,90,97,142
2111 C,10629,67,78,126
2112 C,10630,51,31,103
2113 C,10631,164,175,228
2114 C,10632,127,140,198
2115 C,10633,110,121,188
2116 C,10634,93,105,178
2117 C,10635,66,73,156
2118 C,10636,51,53,121
2119 C,10637,42,46,100
212 C,10638,239,80,154
2120 C,10639,188,202,233
2121 C,10640,139,171,217
2122 C,10641,155,174,228
2123 C,10642,119,147,220
2124 C,10643,110,124,213
2125 C,10644,79,97,200
2126 C,10645,43,58,178
2127 C,10646,184,200,224
2128 C,10647,151,182,230
2129 C,10648,92,141,220
213 C,10649,227,31,122
2130 C,10650,84,119,211
2131 C,10651,52,90,191
2132 C,10652,0,87,193
2133 C,10653,24,88,167
2134 C,10654,144,164,206
2135 C,10655,116,140,192
2136 C,10656,129,149,184
2137 C,10657,106,128,169
2138 C,10658,99,118,147
2139 C,10659,73,104,149
214 C,10660,206,25,108
2140 C,10661,54,84,130
2141 C,10662,138,188,231
2142 C,10663,127,173,228
2143 C,10664,62,135,203
2144 C,10665,0,103,184
2145 C,10666,0,79,169
2146 C,10667,0,55,145
2147 C,10668,0,38,120
2148 C,10669,95,146,179
2149 C,10670,75,130,170
215 C,10671,169,23,89
2150 C,10672,51,116,157
2151 C,10673,36,107,163
2152 C,10674,23,101,145
2153 C,10675,0,87,126
2154 C,10676,0,71,131
2155 C,10677,156,183,204
2156 C,10678,137,167,195
2157 C,10679,116,149,179
2158 C,10680,91,128,165
2159 C,10681,76,119,156
216 C,10682,122,33,70
2160 C,10683,63,106,146
2161 C,10684,38,89,129
2162 C,10685,158,167,180
2163 C,10686,133,156,175
2164 C,10687,124,148,169
2165 C,10688,103,130,152
2166 C,10689,85,115,141
2167 C,10690,80,110,136
2168 C,10691,32,74,93
2169 C,10692,127,175,210
217 C,10693,231,189,217
2170 C,10694,94,155,198
2171 C,10695,72,161,225
2172 C,10696,19,124,210
2173 C,10697,0,131,212
2174 C,10698,1,118,206
2175 C,10699,0,106,198
2176 C,10700,164,182,194
2177 C,10701,126,161,174
2178 C,10702,105,143,157
2179 C,10703,80,123,140
218 C,10704,229,111,179
2180 C,10705,61,109,126
2181 C,10706,41,92,107
2182 C,10707,21,75,93
2183 C,10708,1,147,189
2184 C,10709,0,131,212
2185 C,10710,0,118,166
2186 C,10711,0,73,135
2187 C,10712,0,70,119
2188 C,10713,0,66,106
2189 C,10714,0,51,74
219 C,10715,216,30,131
2190 C,10716,85,183,230
2191 C,10717,0,162,226
2192 C,10718,0,143,218
2193 C,10719,0,143,218
2194 C,10720,0,134,215
2195 C,10721,0,119,206
2196 C,10722,0,104,175
2197 C,10723,112,211,232
2198 C,10724,69,202,228
2199 C,10725,0,186,220
220 C,10726,165,5,81
2200 C,10727,0,168,198
2201 C,10728,0,173,214
2202 C,10729,3,165,223
2203 C,10730,0,136,175
2204 C,10731,171,205,215
2205 C,10732,135,178,196
2206 C,10733,117,159,179
2207 C,10734,101,155,178
2208 C,10735,83,137,163
2209 C,10736,74,135,160
221 C,10737,144,5,71
2210 C,10738,0,79,115
2211 C,10739,109,155,166
2212 C,10740,78,133,146
2213 C,10741,49,113,123
2214 C,10742,45,111,122
2215 C,10743,44,86,100
2216 C,10744,44,78,90
2217 C,10745,0,60,66
2218 C,10746,114,176,190
2219 C,10747,89,164,180
222 C,10748,105,29,68
2220 C,10749,69,151,168
2221 C,10750,40,139,158
2222 C,10751,22,131,152
2223 C,10752,0,118,141
2224 C,10753,0,107,130
2225 C,10754,118,214,227
2226 C,10755,61,203,218
2227 C,10756,87,189,202
2228 C,10757,0,166,191
2229 C,10758,0,157,183
223 C,10759,238,152,208
2230 C,10760,0,140,162
2231 C,10761,0,124,146
2232 C,10762,112,177,181
2233 C,10763,88,168,176
2234 C,10764,76,160,167
2235 C,10765,37,149,158
2236 C,10766,39,145,158
2237 C,10767,0,133,142
2238 C,10768,0,105,118
2239 C,10769,0,209,183
224 C,10770,234,111,189
2240 C,10771,0,194,162
2241 C,10772,89,163,149
2242 C,10773,0,165,120
2243 C,10774,0,150,123
2244 C,10775,23,129,111
2245 C,10776,0,134,85
